t-5,t-4,t-3,t-2,t-1,t
0.49004743415854624,0.4516788626333066,0.44220240362188956,0.4616655075019688,0.5281786783576149,7.291699886322021
0.4516788626333066,0.44220240362188956,0.4616655075019688,0.5281786783576149,0.49583373991165547,7.548900127410889
0.44220240362188956,0.4616655075019688,0.5281786783576149,0.49583373991165547,0.5161788625767283,7.754049777984619
0.4616655075019688,0.5281786783576149,0.49583373991165547,0.5161788625767283,0.5324066654277265,8.34850025177002
0.5281786783576149,0.49583373991165547,0.5161788625767283,0.5324066654277265,0.5794290467298335,9.046299934387209
0.49583373991165547,0.5161788625767283,0.5324066654277265,0.5794290467298335,0.6346265849529422,8.838399887084961
0.5161788625767283,0.5324066654277265,0.5794290467298335,0.6346265849529422,0.6181812194799868,8.420599937438965
0.5324066654277265,0.5794290467298335,0.6346265849529422,0.6181812194799868,0.5851322954625633,8.586999893188478
0.5794290467298335,0.6346265849529422,0.6181812194799868,0.5851322954625633,0.598294909528764,8.620100021362305
0.6346265849529422,0.6181812194799868,0.5851322954625633,0.598294909528764,0.600913204772482,7.598849773406982
0.6181812194799868,0.5851322954625633,0.598294909528764,0.600913204772482,0.5201299929122413,8.204500198364258
0.5851322954625633,0.598294909528764,0.600913204772482,0.5201299929122413,0.5680383157650636,8.286600112915039
0.598294909528764,0.600913204772482,0.5201299929122413,0.5680383157650636,0.5745326052931613,8.537599563598633
0.600913204772482,0.5201299929122413,0.5680383157650636,0.5745326052931613,0.5943872313674003,7.719799995422362
0.5201299929122413,0.5680383157650636,0.5745326052931613,0.5943872313674003,0.5296974299132838,7.767549991607666
0.5680383157650636,0.5745326052931613,0.5943872313674003,0.5296974299132838,0.5334745629576929,7.769899845123291
0.5745326052931613,0.5943872313674003,0.5296974299132838,0.5334745629576929,0.5336604417026659,8.48859977722168
0.5943872313674003,0.5296974299132838,0.5334745629576929,0.5336604417026659,0.5905112370830209,8.484100341796875
0.5296974299132838,0.5334745629576929,0.5336604417026659,0.5905112370830209,0.5901553215315669,7.67234992980957
0.5334745629576929,0.5336604417026659,0.5905112370830209,0.5901553215315669,0.5259440220577116,6.849500179290772
0.5336604417026659,0.5905112370830209,0.5901553215315669,0.5259440220577116,0.4608547397212883,7.523600101470947
0.5905112370830209,0.5901553215315669,0.5259440220577116,0.4608547397212883,0.5141775731183728,7.999899864196777
0.5901553215315669,0.5259440220577116,0.4608547397212883,0.5141775731183728,0.5518539650882149,7.949250221252441
0.5259440220577116,0.4608547397212883,0.5141775731183728,0.5518539650882149,0.5478474634057822,7.593400001525879
0.4608547397212883,0.5141775731183728,0.5518539650882149,0.5478474634057822,0.5196989035907527,8.624099731445312
0.5141775731183728,0.5518539650882149,0.5478474634057822,0.5196989035907527,0.6012295909155083,9.12090015411377
0.5518539650882149,0.5478474634057822,0.5196989035907527,0.6012295909155083,0.640527631603415,8.41409969329834
0.5478474634057822,0.5196989035907527,0.6012295909155083,0.640527631603415,0.5846181114017939,9.167099952697754
0.5196989035907527,0.6012295909155083,0.640527631603415,0.5846181114017939,0.6441821405001157,9.069199562072754
0.6012295909155083,0.640527631603415,0.5846181114017939,0.6441821405001157,0.6364379974628004,8.561800003051758
0.640527631603415,0.5846181114017939,0.6441821405001157,0.6364379974628004,0.5963015410396544,8.953499794006348
0.5846181114017939,0.6441821405001157,0.6364379974628004,0.5963015410396544,0.6272858832825567,8.802599906921387
0.6441821405001157,0.6364379974628004,0.5963015410396544,0.6272858832825567,0.6153493598178358,8.99209976196289
0.6364379974628004,0.5963015410396544,0.6272858832825567,0.6153493598178358,0.6303392283323866,9.39389991760254
0.5963015410396544,0.6272858832825567,0.6153493598178358,0.6303392283323866,0.6621225323399031,9.914899826049805
0.6272858832825567,0.6153493598178358,0.6303392283323866,0.6621225323399031,0.7033348072622615,11.075599670410156
0.6153493598178358,0.6303392283323866,0.6621225323399031,0.7033348072622615,0.7951487986133928,11.24429988861084
0.6303392283323866,0.6621225323399031,0.7033348072622615,0.7951487986133928,0.8084933686588445,12.272700309753418
0.6621225323399031,0.7033348072622615,0.7951487986133928,0.8084933686588445,0.8898421754421514,11.689000129699709
0.7033348072622615,0.7951487986133928,0.8084933686588445,0.8898421754421514,0.843670166766955,11.310199737548828
0.7951487986133928,0.8084933686588445,0.8898421754421514,0.843670166766955,0.8137061962385429,10.386699676513672
0.8084933686588445,0.8898421754421514,0.843670166766955,0.8137061962385429,0.7406552459617485,10.25730037689209
0.8898421754421514,0.843670166766955,0.8137061962385429,0.7406552459617485,0.7304194677508488,9.01509952545166
0.843670166766955,0.8137061962385429,0.7406552459617485,0.7304194677508488,0.632158561811491,8.281000137329103
